PRODUCT_ID,BROWSE_NODE_ID
1,1140
2,748
3,186
4,125
5,7644
6,4
7,5
8,773
9,113
10,1344
11,3329
12,0
13,1045
14,2321
15,14478
16,701
17,1247
18,787
19,962
20,2900
21,259
22,912
23,259
24,1045
25,604
26,636
27,604
28,1045
29,6565
30,3503
31,1045
32,1295
33,106
34,2321
35,3175
36,3175
37,1045
38,3175
39,2321
40,5112
41,11
42,1344
43,1045
44,1045
45,1045
46,4708
47,796
48,796
49,1045
50,4306
51,58420
52,439
53,1045
54,1002
55,81
56,322
57,247
58,1296
59,739
60,1045
61,911
62,1319
63,1251
64,1295
65,1045
66,1045
67,5
68,1869
69,840
70,1045
71,82
72,0
73,507
74,17397
75,1452
76,289
77,708
78,439
79,322
80,1024
81,1045
82,1084
83,1209
84,1724
85,710
86,1251
87,977
88,1239
89,1045
90,237
91,1239
92,1045
93,1922
94,2086
95,1045
96,1045
97,427
98,1045
99,840
100,1658
101,1671
102,1045
103,1045
104,1045
105,1267
106,1045
107,506
108,13
109,8757
110,396
111,5
112,1045
113,4
114,1045
115,1045
116,1295
117,361
118,252
119,1045
120,1045
121,4
122,1045
123,419
124,2029
125,1295
126,1045
127,81
128,818
129,1473
130,1045
131,1045
132,1045
133,8078
134,1240
135,593
136,115
137,1186
138,74
139,3719
140,507
141,252
142,58420
143,1045
144,1295
145,6656
146,4
147,1045
148,7487
149,818
150,272
151,507
152,787
153,1199
154,6
155,1239
156,350
157,324
158,5061
159,507
160,507
161,2385
162,2650
163,1922
164,16174
165,4535
166,6
167,289
168,977
169,1239
170,3175
171,796
172,5338
173,782
174,426
175,9643
176,858
177,1003
178,834
179,5
180,3611
181,235
182,507
183,4
184,5061
185,805
186,328
187,6
188,7784
189,4947
190,811
191,507
192,4263
193,507
194,2516
195,1973
196,396
197,2560
198,968
199,2181
200,4
201,1835
202,3770
203,924
204,26753
205,4962
206,12266
207,1358
208,1973
209,1232
210,439
211,6
212,3867
213,1045
214,2077
215,1988
216,507
217,1486
218,7
219,311
220,272
221,4320
222,1232
223,1164
224,1251
225,800
226,3503
227,1876
228,1988
229,495
230,800
231,352595
232,1551
233,55
234,800
235,781
236,191
237,3329
238,651
239,423
240,499
241,2321
242,15406
243,3329
244,15772
245,2321
246,6711
247,407
248,86
249,1045
250,1045
251,1652
252,1652
253,708
254,22
255,2321
256,1045
257,417
258,2321
259,1045
260,1045
261,507
262,1699
263,374
264,106
265,1045
266,1930
267,1045
268,1045
269,3175
270,4
271,3329
272,1454
273,1045
274,1295
275,256
276,1433
277,396
278,4533
279,100
280,1454
281,507
282,805
283,1813
284,8275
285,1129
286,417
287,2957
288,1045
289,58420
290,1084
291,1092
292,1084
293,1045
294,1045
295,507
296,816
297,1045
298,1045
299,1045
300,1045
301,132
302,803
303,28932
304,19998
305,36
306,701
307,1045
308,10307
309,1045
310,5471
311,1045
312,2807
313,1045
314,1045
315,2940
316,465
317,289
318,1045
319,1045
320,630
321,41502
322,413
323,422
324,4
325,507
326,2137
327,840
328,5471
329,5970
330,6
331,1045
332,1045
333,1049
334,1045
335,803
336,1045
337,30642
338,1870
339,1045
340,1045
341,1045
342,1045
343,1045
344,19739
345,289
346,1045
347,1045
348,1045
349,1045
350,368
351,439
352,1433
353,226
354,1045
355,1045
356,289
357,1045
358,2807
359,1045
360,1045
361,1295
362,10047
363,1045
364,1045
365,89
366,1045
367,1045
368,507
369,69
370,6
371,1045
372,68
373,1045
374,1045
375,1045
376,1045
377,6
378,1045
379,427
380,1045
381,1091
382,911
383,1239
384,29691
385,40370
386,507
387,422
388,4140
389,19
390,515
391,472
392,1186
393,1045
394,7257
395,532
396,1045
397,1313
398,3446
399,2977
400,465
401,1348
402,3527
403,2091
404,121168
405,507
406,289
407,1083
408,4840
409,1072
410,13
411,89
412,89
413,38562
414,1194
415,427
416,228002
417,374
418,1973
419,117
420,1433
421,1433
422,235
423,818
424,818
425,9424
426,244057
427,115
428,4947
429,1053
430,1375
431,1454
432,9826
433,13502
434,1337
435,781
436,1699
437,1287
438,328
439,1876
440,4
441,1052
442,1922
443,811
444,1164
445,1045
446,324
447,810
448,1973
449,3867
450,3355
451,818
452,1239
453,19247
454,1045
455,465
456,1454
457,92
458,251
459,872
460,1049
461,5061
462,3478
463,5
464,324
465,2524
466,3478
467,1199
468,181
469,753
470,2379
471,800
472,2321
473,3994
474,1551
475,754
476,3705
477,800
478,800
479,5
480,330
481,1705
482,1186
483,0
484,796
485,1092
486,67287
487,75
488,3928
489,818
490,89
491,3329
492,2940
493,1072
494,1045
495,1386
496,1045
497,1433
498,1045
499,1040
500,834
501,86
502,1045
503,317
504,8703
505,1045
506,2650
507,1045
508,3329
509,2321
510,2321
511,11459
512,86
513,1045
514,5
515,1045
516,3976
517,1287
518,289
519,430
520,796
521,3073
522,796
523,1295
524,6
525,58420
526,5
527,2229
528,422
529,74
530,328
531,417
532,1045
533,1045
534,328
535,1045
536,1045
537,1045
538,1045
539,427
540,69
541,796
542,3383
543,1045
544,1351
545,507
546,1045
547,293
548,1045
549,796
550,396
551,1045
552,4
553,1045
554,251
555,4
556,1045
557,782
558,1045
559,23660
560,1045
561,1295
562,1045
563,1045
564,1045
565,8269
566,946
567,701
568,834
569,86
570,800
571,1287
572,419
573,630
574,684
575,803
576,1045
577,2464
578,810
579,1045
580,1552
581,727
582,1045
583,507
584,630
585,1045
586,1045
587,1045
588,466
589,4
590,1045
591,977
592,1045
593,1045
594,748
595,1045
596,1922
597,1045
598,1045
599,1045
600,1045
601,1084
602,1045
603,1045
604,840
605,1045
606,507
607,1045
608,1045
609,1045
610,1045
611,818
612,1684
613,11
614,1045
615,1045
616,1454
617,427
618,1045
619,1045
620,1045
621,6
622,6
623,1045
624,2254
625,507
626,2310
627,1973
628,692
629,427
630,1013
631,6
632,289
633,289
634,660
635,1667
636,1045
637,11586
638,6568
639,1552
640,171226
641,15570
642,317
643,745
644,32466
645,289
646,1552
647,74
648,507
649,1234
650,3547
651,7462
652,507
653,8802
654,1552
655,507
656,8915
657,58420
658,1724
659,5288
660,38562
661,1074
662,3291
663,1973
664,1687
665,289
666,13932
667,507
668,251
669,2357
670,1672
671,3770
672,953
673,324
674,2957
675,160
676,3482
677,407
678,1045
679,811
680,17782
681,507
682,1419
683,507
684,764
685,21710
686,1011
687,2647
688,227
689,13194
690,816
691,834
692,840
693,1052
694,2121
695,507
696,1045
697,374
698,796
699,818
700,764
701,593
702,3821
703,796
704,92
705,872
706,1295
707,1973
708,4
709,3937
710,328
711,311
712,279
713,3883
714,836
715,2416
716,3442
717,754
718,800
719,800
720,753
721,13520
722,781
723,53
724,1409
725,1194
726,701
727,251
728,89
729,2321
730,2811
731,439
732,1045
733,2321
734,1930
735,0
736,2321
737,259
738,1045
739,580
740,2321
741,1045
742,1295
743,289
744,204
745,15772
746,510
747,374
748,3175
749,2379
750,92
751,3474
752,781
753,1045
754,818
755,3446
756,1295
757,439
758,1041
759,19337
760,186
761,413
762,1979
763,379
764,2103
765,1045
766,30
767,1045
768,1724
769,1746
770,3562
771,58420
772,58420
773,407
774,396
775,216
776,53
777,1045
778,1045
779,796
780,796
781,993
782,824
783,1045
784,2040
785,507
786,834
787,52228
788,912
789,204
790,367
791,1061
792,2077
793,1045
794,1013
795,1045
796,427
797,5398
798,427
799,1966
800,1602
801,75
802,361
803,3547
804,1658
805,962
806,13940
807,1045
808,15553
809,507
810,1611
811,8269
812,1092
813,651
814,3722
815,1045
816,1287
817,465
818,61537
819,1045
820,1619
821,1045
822,569
823,328
824,26553
825,515
826,1045
827,507
828,601
829,4
830,1045
831,466
832,361
833,1045
834,1045
835,1045
836,4962
837,2174
838,466
839,980
840,1045
841,782
842,427
843,1045
844,1045
845,1045
846,1045
847,7804
848,31719
849,2807
850,1045
851,82
852,515
853,1084
854,1045
855,788
856,1045
857,1045
858,1295
859,1687
860,4
861,1045
862,4
863,1045
864,1186
865,1045
866,1045
867,1061
868,1552
869,6
870,4501
871,1045
872,1045
873,1045
874,1646
875,1295
876,2396
877,969
878,1433
879,4
880,1922
881,93572
882,1052
883,507
884,240
885,507
886,978
887,5900
888,993
889,4474
890,2807
891,1193
892,1973
893,407
894,1602
895,834
896,2229
897,8023
898,507
899,4967
900,3821
901,6544
902,38562
903,427
904,1699
905,872
906,1552
907,1433
908,251
909,1433
910,1819
911,319
912,11
913,1351
914,507
915,4323
916,1045
917,507
918,1973
919,1313
920,324
921,1239
922,6
923,7037
924,48456
925,1684
926,507
927,507
928,328
929,796
930,407
931,1724
932,709
933,3867
934,74
935,507
936,1072
937,4962
938,1973
939,10183
940,630
941,507
942,28142
943,1454
944,796
945,796
946,265
947,753
948,768
949,764
950,32179
951,1973
952,26
953,1658
954,7644
955,8790
956,1777
957,2460
958,2202
959,1194
960,311
961,4
962,1040
963,10075
964,4
965,3246
966,110
967,2508
968,800
969,1137
